fold,class,count
holdout,27,100
holdout,28,100
holdout,29,100
holdout,3,100
holdout,30,100
holdout,31,100
holdout,32,100
holdout,33,100
holdout,34,100
holdout,35,100
holdout,36,100
holdout,37,100
holdout,38,100
holdout,39,100
holdout,4,100
holdout,40,100
holdout,41,100
holdout,42,100
holdout,43,100
holdout,44,100
holdout,45,100
holdout,46,100
holdout,47,100
holdout,48,100
holdout,49,100
holdout,5,100
holdout,50,100
holdout,51,100
holdout,52,100
holdout,53,100
holdout,54,100
holdout,55,100
holdout,56,100
holdout,57,100
holdout,58,100
holdout,59,100
holdout,6,100
holdout,60,100
holdout,61,100
holdout,62,100
holdout,63,100
holdout,64,100
holdout,65,100
holdout,66,100
holdout,67,100
holdout,68,100
holdout,69,100
holdout,7,100
holdout,70,100
holdout,71,100
holdout,72,100
holdout,73,100
holdout,74,100
holdout,75,100
holdout,76,100
holdout,77,100
holdout,78,100
holdout,79,100
holdout,8,100
holdout,80,100
holdout,81,100
holdout,82,100
holdout,83,100
holdout,84,100
holdout,85,100
holdout,86,100
holdout,87,100
holdout,88,100
holdout,89,100
holdout,9,100
holdout,90,100
holdout,91,100
holdout,92,100
holdout,93,100
holdout,94,100
holdout,95,100
holdout,96,100
holdout,97,100
holdout,98,100
holdout,99,100
